1487153429
[H[JMem: 90648K used, 422136K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 2/80 22466
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 422276   4916  33864    0    0     0     0   27    6  0  2 98  0  0 2017-02-15 10:10:29
 0  0      0 420356   4916  33868    0    0     0     0 58750  240  0 12 88  0  0 2017-02-15 10:10:30
 0  0      0 416416   4916  33868    0    0     0     0 58310  193  0 13 88  0  0 2017-02-15 10:10:31
 0  0      0 415840   4916  33868    0    0     0     0 58696  257  0 13 87  0  0 2017-02-15 10:10:32
 0  0      0 427544   4916  33868    0    0     0     0 60092  240  0  8 92  0  0 2017-02-15 10:10:33
 0  0      0 428944   4916  33868    0    0     0     0 59312  228  0 12 88  0  0 2017-02-15 10:10:34
 0  0      0 428920   4916  33868    0    0     0     0 59500  236  0 13 87  0  0 2017-02-15 10:10:35
 0  0      0 428904   4916  33868    0    0     0     0 57684  223  0  9 92  0  0 2017-02-15 10:10:36
 0  0      0 428896   4916  33868    0    0     0     0 58413  239  0 11 90  0  0 2017-02-15 10:10:37
 0  0      0 428928   4916  33868    0    0     0     0 59704  408  0  8 92  0  0 2017-02-15 10:10:38
 0  0      0 428928   4916  33868    0    0     0     0 59768  447  0  9 91  0  0 2017-02-15 10:10:39
 0  0      0 428864   4916  33868    0    0     0     0 59419  405  0 11 90  0  0 2017-02-15 10:10:40
 0  0      0 428800   4916  33868    0    0     0     0 59576  406  0 13 87  0  0 2017-02-15 10:10:41
 0  0      0 428768   4916  33868    0    0     0     0 59200  407  0 11 90  0  0 2017-02-15 10:10:42
 0  0      0 428768   4916  33868    0    0     0     0 59571  408  1  9 91  0  0 2017-02-15 10:10:43
 0  0      0 428768   4916  33868    0    0     0     0 59360  430  0 16 84  0  0 2017-02-15 10:10:44
 0  0      0 428768   4916  33868    0    0     0     0 59747  422  0 14 87  0  0 2017-02-15 10:10:45
 0  0      0 428768   4916  33868    0    0     0     0 61491  418  0 12 89  0  0 2017-02-15 10:10:46
 0  0      0 428736   4916  33868    0    0     0     0 59820  443  0 13 87  0  0 2017-02-15 10:10:47
 0  0      0 428816   4916  33868    0    0     0     0 60071  417  0 13 88  0  0 2017-02-15 10:10:48
 0  0      0 428816   4916  33868    0    0     0     0 59546  441  0 12 88  0  0 2017-02-15 10:10:49
 0  0      0 428848   4916  33868    0    0     0     0 59415  407  0 13 88  0  0 2017-02-15 10:10:50
 0  0      0 428784   4916  33868    0    0     0     0 59517  417  0 10 91  0  0 2017-02-15 10:10:51
 0  0      0 428816   4916  33868    0    0     0     0 57344  406  0  8 92  0  0 2017-02-15 10:10:52
 0  0      0 428816   4916  33868    0    0     0     0 64291  425  0 12 88  0  0 2017-02-15 10:10:53
 0  0      0 428784   4916  33868    0    0     0     0 57549  413  0 16 84  0  0 2017-02-15 10:10:54
 0  0      0 428688   4916  33868    0    0     0     0 60398  423  0 10 91  0  0 2017-02-15 10:10:55
 0  0      0 428688   4916  33868    0    0     0     0 60406  415  0 15 86  0  0 2017-02-15 10:10:56
 0  0      0 428688   4916  33868    0    0     0     0 59607  410  0 14 87  0  0 2017-02-15 10:10:57
 0  0      0 428688   4916  33868    0    0     0     0 59891  398  0 11 90  0  0 2017-02-15 10:10:58
 0  0      0 428688   4916  33868    0    0     0     0 59562  390  0 10 90  0  0 2017-02-15 10:10:59
 0  0      0 428688   4916  33868    0    0     0     0 59361  407  0 10 91  0  0 2017-02-15 10:11:00
 0  0      0 428688   4916  33868    0    0     0     0 59287  384  0 10 90  0  0 2017-02-15 10:11:01
 0  0      0 428688   4916  33868    0    0     0     0 59627  414  0 11 90  0  0 2017-02-15 10:11:02
 0  0      0 428688   4916  33868    0    0     0     0 59038  424  0 14 87  0  0 2017-02-15 10:11:03
 0  0      0 428688   4916  33868    0    0     0     0 60164  386  0 16 85  0  0 2017-02-15 10:11:04
 0  0      0 428688   4916  33872    0    0     0     0 59683  379  1 13 87  0  0 2017-02-15 10:11:05
 0  0      0 428688   4916  33872    0    0     0     0 59515  385  0 13 87  0  0 2017-02-15 10:11:06
 0  0      0 428688   4916  33872    0    0     0     0 60349  417  0 14 87  0  0 2017-02-15 10:11:07
 0  0      0 428688   4916  33872    0    0     0     0 59954  405  0 12 88  0  0 2017-02-15 10:11:08
 0  0      0 428688   4916  33872    0    0     0     0 59932  393  0 13 88  0  0 2017-02-15 10:11:09
 0  0      0 428688   4916  33872    0    0     0     0 59325  380  0  9 92  0  0 2017-02-15 10:11:10
 0  0      0 428656   4916  33872    0    0     0     0 59172  396  0 13 87  0  0 2017-02-15 10:11:11
 0  0      0 428688   4916  33872    0    0     0     0 60126  389  0 12 89  0  0 2017-02-15 10:11:12
 0  0      0 428688   4916  33872    0    0     0     0 59925  384  0 11 89  0  0 2017-02-15 10:11:13
