1487124562
[H[JMem: 92784K used, 420000K free, 1056K shrd, 4916K buff, 21356K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.01 0.00 1/85 21436
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 425800   4916  33872    0    0     0     0 100552  476  0 21 80  0  0 2017-02-15 02:10:20
 0  0      0 425800   4916  33872    0    0     0     0 100212  479  0 22 79  0  0 2017-02-15 02:10:21
 0  0      0 425800   4916  33872    0    0     0     0 100490  501  0 25 76  0  0 2017-02-15 02:10:22
 0  0      0 425800   4916  33872    0    0     0     0 100350  465  0 23 77  0  0 2017-02-15 02:10:23
 1  0      0 425768   4916  33872    0    0     0     0 100463  499  0 25 76  0  0 2017-02-15 02:10:24
 0  0      0 425768   4916  33872    0    0     0     0 100596  495  0 24 76  0  0 2017-02-15 02:10:25
 0  0      0 425768   4916  33872    0    0     0     0 100415  503  0 27 74  0  0 2017-02-15 02:10:26
 0  0      0 425768   4916  33872    0    0     0     0 100540  493  0 24 76  0  0 2017-02-15 02:10:27
 1  0      0 425768   4916  33872    0    0     0     0 100516  512  1 22 78  0  0 2017-02-15 02:10:28
 0  0      0 425768   4916  33872    0    0     0     0 100576  570  0 29 72  0  0 2017-02-15 02:10:29
 0  0      0 425768   4916  33872    0    0     0     0 100260  484  0 22 79  0  0 2017-02-15 02:10:30
 0  0      0 425768   4916  33872    0    0     0     0 100457  508  0 21 79  0  0 2017-02-15 02:10:31
 0  0      0 425768   4916  33872    0    0     0     0 100559  536  0 31 70  0  0 2017-02-15 02:10:32
 1  0      0 425736   4916  33872    0    0     0     0 100478  471  0 28 73  0  0 2017-02-15 02:10:33
 1  0      0 425672   4916  33872    0    0     0     0 100296  492  0 23 77  0  0 2017-02-15 02:10:34
 0  0      0 425672   4916  33872    0    0     0     0 100504  477  0 23 77  0  0 2017-02-15 02:10:35
 0  0      0 425672   4916  33872    0    0     0     0 100473  494  1 24 76  0  0 2017-02-15 02:10:36
 0  0      0 425640   4916  33872    0    0     0     0 100562  468  0 24 77  0  0 2017-02-15 02:10:37
 0  0      0 425640   4916  33872    0    0     0     0 100267  502  0 26 74  0  0 2017-02-15 02:10:38
 0  0      0 425640   4916  33876    0    0     0     0 100664  456  0 22 78  0  0 2017-02-15 02:10:39
 0  0      0 425640   4916  33876    0    0     0     0 100368  534  0 25 75  0  0 2017-02-15 02:10:40
 0  0      0 425640   4916  33876    0    0     0     0 100371  521  0 25 75  0  0 2017-02-15 02:10:41
 0  0      0 425640   4916  33876    0    0     0     0 100429  486  0 23 77  0  0 2017-02-15 02:10:42
 1  0      0 425640   4916  33876    0    0     0     0 100504  507  0 24 77  0  0 2017-02-15 02:10:43
 1  0      0 425576   4916  33876    0    0     0     0 100665  502  0 19 82  0  0 2017-02-15 02:10:44
 0  0      0 425576   4916  33876    0    0     0     0 100300  516  0 25 76  0  0 2017-02-15 02:10:45
 0  0      0 425576   4916  33876    0    0     0     0 100519  497  0 22 79  0  0 2017-02-15 02:10:46
 0  0      0 425576   4916  33876    0    0     0     0 100469  490  1 18 82  0  0 2017-02-15 02:10:47
 0  0      0 425512   4916  33876    0    0     0     0 100282  533  0 25 76  0  0 2017-02-15 02:10:48
 1  0      0 425512   4916  33876    0    0     0     0 100695  487  1 24 76  0  0 2017-02-15 02:10:49
 1  0      0 425512   4916  33876    0    0     0     0 100532  513  1 24 76  0  0 2017-02-15 02:10:50
 0  0      0 425512   4916  33876    0    0     0     0 100485  505  0 24 76  0  0 2017-02-15 02:10:51
 0  0      0 425480   4916  33876    0    0     0     0 100577  469  0 22 79  0  0 2017-02-15 02:10:52
 0  0      0 425480   4916  33876    0    0     0     0 100586  509  0 22 79  0  0 2017-02-15 02:10:53
 0  0      0 425448   4916  33876    0    0     0     0 100419  486  0 25 76  0  0 2017-02-15 02:10:54
 1  0      0 425448   4916  33876    0    0     0     0 100566  484  0 22 78  0  0 2017-02-15 02:10:55
 1  0      0 425448   4916  33876    0    0     0     0 100255  494  0 19 81  0  0 2017-02-15 02:10:56
 0  0      0 425416   4916  33876    0    0     0     0 100359  480  0 26 74  0  0 2017-02-15 02:10:57
 0  0      0 425448   4916  33876    0    0     0     0 100296  505  0 27 73  0  0 2017-02-15 02:10:58
 0  0      0 425416   4916  33876    0    0     0     0 100560  516  0 26 75  0  0 2017-02-15 02:10:59
