1487135386
[H[JMem: 93752K used, 419032K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.07 0.02 0.00 1/85 21793
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 419072   4916  33864    0    0     0     0   28    0  0  1 99  0  0 2017-02-15 05:09:46
 0  0      0 419040   4916  33868    0    0     0     0 99759  226  0 28 73  0  0 2017-02-15 05:09:47
 0  0      0 419040   4916  33868    0    0     0     0 102064  185  0 18 83  0  0 2017-02-15 05:09:48
 0  0      0 419040   4916  33868    0    0     0     0 102101  206  0 21 79  0  0 2017-02-15 05:09:49
 0  0      0 419040   4916  33868    0    0     0     0 102237  197  0 21 80  0  0 2017-02-15 05:09:50
 0  0      0 419040   4916  33868    0    0     0     0 101928  232  0 28 73  0  0 2017-02-15 05:09:51
 0  0      0 419040   4916  33868    0    0     0     0 101711  207  0 22 78  0  0 2017-02-15 05:09:52
 0  0      0 418844   4916  33868    0    0     0     0 101407  247  0 24 76  0  0 2017-02-15 05:09:53
 0  0      0 418884   4916  33868    0    0     0     0 101936  211  0 23 77  0  0 2017-02-15 05:09:54
 0  0      0 418916   4916  33868    0    0     0     0 101755  213  0 22 78  0  0 2017-02-15 05:09:55
 0  0      0 418916   4916  33868    0    0     0     0 102001  209  0 24 77  0  0 2017-02-15 05:09:56
 0  0      0 418916   4916  33868    0    0     0     0 101825  191  0 19 82  0  0 2017-02-15 05:09:57
 1  0      0 418884   4916  33868    0    0     0     0 101581  185  0 20 81  0  0 2017-02-15 05:09:58
 0  0      0 418916   4916  33868    0    0     0     0 101747  235  0 25 75  0  0 2017-02-15 05:09:59
 0  0      0 418852   4916  33868    0    0     0     0 101695  238  0 23 78  0  0 2017-02-15 05:10:00
 0  0      0 418908   4916  33868    0    0     0     0 101909  228  0 25 76  0  0 2017-02-15 05:10:01
 1  0      0 418908   4916  33868    0    0     0     0 101965  210  0 22 79  0  0 2017-02-15 05:10:02
 0  0      0 418908   4916  33868    0    0     0     0 101905  212  0 22 79  0  0 2017-02-15 05:10:03
 0  0      0 418908   4916  33868    0    0     0     0 102001  193  0 19 82  0  0 2017-02-15 05:10:04
 0  0      0 418908   4916  33868    0    0     0     0 101960  184  0 20 80  0  0 2017-02-15 05:10:05
 1  0      0 418908   4916  33868    0    0     0     0 101957  222  0 25 75  0  0 2017-02-15 05:10:06
 0  0      0 418908   4916  33868    0    0     0     0 102075  198  0 21 79  0  0 2017-02-15 05:10:07
 0  0      0 418908   4916  33868    0    0     0     0 102181  205  0 21 79  0  0 2017-02-15 05:10:08
 1  0      0 418908   4916  33868    0    0     0     0 101945  214  0 22 79  0  0 2017-02-15 05:10:09
 0  0      0 418908   4916  33868    0    0     0     0 101919  238  0 22 78  0  0 2017-02-15 05:10:10
 0  0      0 418916   4916  33868    0    0     0     0 101956  202  0 22 78  0  0 2017-02-15 05:10:11
 1  0      0 418916   4916  33868    0    0     0     0 101990  185  0 19 81  0  0 2017-02-15 05:10:12
 1  0      0 418916   4916  33868    0    0     0     0 101833  240  0 22 79  0  0 2017-02-15 05:10:13
 0  0      0 418916   4916  33868    0    0     0     0 102029  213  0 21 79  0  0 2017-02-15 05:10:14
 0  0      0 418916   4916  33868    0    0     0     0 101827  220  0 21 79  0  0 2017-02-15 05:10:15
 1  0      0 418884   4916  33868    0    0     0     0 101906  206  0 23 77  0  0 2017-02-15 05:10:16
 0  0      0 418884   4916  33868    0    0     0     0 102104  205  0 21 80  0  0 2017-02-15 05:10:17
 1  0      0 418916   4916  33868    0    0     0     0 101927  208  0 20 80  0  0 2017-02-15 05:10:18
 0  0      0 418916   4916  33868    0    0     0     0 101850  206  0 22 78  0  0 2017-02-15 05:10:19
 0  0      0 418916   4916  33868    0    0     0     0 101894  210  0 22 78  0  0 2017-02-15 05:10:20
 1  0      0 418916   4916  33868    0    0     0     0 102143  225  0 28 72  0  0 2017-02-15 05:10:21
 0  0      0 418916   4916  33872    0    0     0     0 102032  208  0 24 77  0  0 2017-02-15 05:10:22
 0  0      0 418916   4916  33872    0    0     0     0 101982  208  0 23 76  0  0 2017-02-15 05:10:23
 1  0      0 418916   4916  33872    0    0     0     0 102087  215  0 25 76  0  0 2017-02-15 05:10:24
 0  0      0 418916   4916  33872    0    0     0     0 101990  232  0 25 76  0  0 2017-02-15 05:10:25
 1  0      0 418916   4916  33872    0    0     0     0 102016  175  0 18 82  0  0 2017-02-15 05:10:26
 0  0      0 418924   4916  33872    0    0     0     0 101868  226  0 25 75  0  0 2017-02-15 05:10:27
 0  0      0 418924   4916  33872    0    0     0     0 101852  180  0 17 83  0  0 2017-02-15 05:10:28
 0  0      0 418924   4916  33872    0    0     0     0 102000  223  0 23 78  0  0 2017-02-15 05:10:29
 0  0      0 418956   4916  33872    0    0     0     0 101929  222  0 25 75  0  0 2017-02-15 05:10:30
 0  0      0 418924   4916  33872    0    0     0     0 101854  189  1 20 80  0  0 2017-02-15 05:10:31
 0  0      0 418924   4916  33872    0    0     0     0 102002  219  0 22 79  0  0 2017-02-15 05:10:32
 0  0      0 418924   4916  33872    0    0     0     0 102161  206  0 24 77  0  0 2017-02-15 05:10:33
 1  0      0 418924   4916  33872    0    0     0     0 102074  179  0 17 83  0  0 2017-02-15 05:10:34
 0  0      0 418892   4916  33872    0    0     0     0 101945  210  0 21 80  0  0 2017-02-15 05:10:35
 0  0      0 418892   4916  33872    0    0     0     0 101825  188  0 18 83  0  0 2017-02-15 05:10:36
 1  0      0 418892   4916  33872    0    0     0     0 101896  208  0 23 78  0  0 2017-02-15 05:10:37
 0  0      0 418924   4916  33872    0    0     0     0 101966  180  0 20 81  0  0 2017-02-15 05:10:38
 0  0      0 418924   4916  33872    0    0     0     0 101941  220  0 23 78  0  0 2017-02-15 05:10:39
 0  0      0 418924   4916  33872    0    0     0     0 101955  196  0 21 79  0  0 2017-02-15 05:10:40
 1  0      0 418924   4916  33872    0    0     0     0 101736  199  0 20 81  0  0 2017-02-15 05:10:41
 0  0      0 418892   4916  33872    0    0     0     0 101816  195  0 18 83  0  0 2017-02-15 05:10:42
 1  0      0 418924   4916  33872    0    0     0     0 102009  203  0 21 80  0  0 2017-02-15 05:10:43
 0  0      0 418892   4916  33872    0    0     0     0 102051  225  0 26 75  0  0 2017-02-15 05:10:44
 1  0      0 418924   4916  33872    0    0     0     0 101932  185  0 18 83  0  0 2017-02-15 05:10:45
 0  0      0 418892   4916  33872    0    0     0     0 101942  193  0 20 80  0  0 2017-02-15 05:10:46
 0  0      0 418924   4916  33872    0    0     0     0 101947  236  0 26 74  0  0 2017-02-15 05:10:47
 0  0      0 418924   4916  33872    0    0     0     0 101938  187  0 21 79  0  0 2017-02-15 05:10:48
 0  0      0 418924   4916  33872    0    0     0     0 101955  217  0 25 76  0  0 2017-02-15 05:10:49
 0  0      0 418924   4916  33872    0    0     0     0 102021  171  0 17 83  0  0 2017-02-15 05:10:50
 1  0      0 418924   4916  33872    0    0     0     0 101870  214  0 19 81  0  0 2017-02-15 05:10:51
 0  0      0 418884   4916  33872    0    0     0     0 102115  206  0 23 77  0  0 2017-02-15 05:10:52
 0  0      0 418884   4916  33872    0    0     0     0 101724  200  0 20 80  0  0 2017-02-15 05:10:53
 0  0      0 418884   4916  33872    0    0     0     0 101803  190  0 23 78  0  0 2017-02-15 05:10:54
 1  0      0 418884   4916  33872    0    0     0     0 101887  207  0 25 76  0  0 2017-02-15 05:10:55
 0  0      0 418916   4916  33872    0    0     0     0 101953  207  0 23 78  0  0 2017-02-15 05:10:56
 1  0      0 418884   4916  33872    0    0     0     0 101968  213  0 21 78  0  0 2017-02-15 05:10:57
 1  0      0 418924   4916  33872    0    0     0     0 101882  194  0 21 80  0  0 2017-02-15 05:10:58
 1  0      0 418924   4916  33872    0    0     0     0 101959  227  0 27 74  0  0 2017-02-15 05:10:59
 0  0      0 418924   4916  33872    0    0     0     0 101872  186  0 14 86  0  0 2017-02-15 05:11:00
 1  0      0 418924   4916  33872    0    0     0     0 102081  201  0 23 77  0  0 2017-02-15 05:11:01
 1  0      0 418884   4916  33876    0    0     0     0 102099  211  0 24 76  0  0 2017-02-15 05:11:02
 0  0      0 418884   4916  33876    0    0     0     0 102121  196  0 21 80  0  0 2017-02-15 05:11:03
 0  0      0 418916   4916  33876    0    0     0     0 102276  202  0 22 78  0  0 2017-02-15 05:11:04
 1  0      0 418916   4916  33876    0    0     0     0 102225  202  0 22 78  0  0 2017-02-15 05:11:05
 1  0      0 418916   4916  33876    0    0     0     0 102214  189  0 20 80  0  0 2017-02-15 05:11:06
 0  0      0 418916   4916  33876    0    0     0     0 102371  206  0 22 79  0  0 2017-02-15 05:11:07
 0  0      0 418916   4916  33876    0    0     0     0 101899  210  0 25 76  0  0 2017-02-15 05:11:08
 0  0      0 418916   4916  33876    0    0     0     0 101822  199  0 22 79  0  0 2017-02-15 05:11:09
 0  0      0 418884   4916  33876    0    0     0     0 101849  202  0 21 79  0  0 2017-02-15 05:11:10
 0  0      0 418884   4916  33876    0    0     0     0 101924  193  0 18 82  0  0 2017-02-15 05:11:11
 0  0      0 418916   4916  33876    0    0     0     0 101920  201  0 22 78  0  0 2017-02-15 05:11:12
 0  0      0 418916   4916  33876    0    0     0     0 102079  203  0 20 81  0  0 2017-02-15 05:11:13
 0  0      0 418916   4916  33876    0    0     0     0 101844  183  0 19 81  0  0 2017-02-15 05:11:14
 1  0      0 418916   4916  33876    0    0     0     0 101934  216  0 23 77  0  0 2017-02-15 05:11:15
 1  0      0 418884   4916  33876    0    0     0     0 101967  203  0 23 77  0  0 2017-02-15 05:11:16
 1  0      0 418884   4916  33876    0    0     0     0 102215  190  0 21 79  0  0 2017-02-15 05:11:17
 1  0      0 418884   4916  33876    0    0     0     0 102065  228  0 28 73  0  0 2017-02-15 05:11:18
 1  0      0 418884   4916  33876    0    0     0     0 102289  194  0 19 81  0  0 2017-02-15 05:11:19
 1  0      0 418884   4916  33876    0    0     0     0 102086  202  0 21 79  0  0 2017-02-15 05:11:20
 0  0      0 418884   4916  33876    0    0     0     0 102261  179  0 21 79  0  0 2017-02-15 05:11:21
 0  0      0 418916   4916  33876    0    0     0     0 102209  191  0 21 79  0  0 2017-02-15 05:11:22
 0  0      0 418916   4916  33876    0    0     0     0 101945  177  0 18 83  0  0 2017-02-15 05:11:23
 0  0      0 418948   4916  33876    0    0     0     0 102083  158  0 15 86  0  0 2017-02-15 05:11:24
 1  0      0 418916   4916  33876    0    0     0     0 101921  201  0 21 79  0  0 2017-02-15 05:11:25
 0  0      0 418884   4916  33876    0    0     0     0 102322  200  0 23 77  0  0 2017-02-15 05:11:26
 0  0      0 418916   4916  33876    0    0     0     0 102386  199  0 20 80  0  0 2017-02-15 05:11:27
 1  0      0 418916   4916  33876    0    0     0     0 102090  202  0 20 80  0  0 2017-02-15 05:11:28
 0  0      0 418884   4916  33876    0    0     0     0 101799  199  1 21 79  0  0 2017-02-15 05:11:29
 0  0      0 418916   4916  33876    0    0     0     0 101847  194  0 21 79  0  0 2017-02-15 05:11:30
 0  0      0 418916   4916  33876    0    0     0     0 101855  205  0 22 79  0  0 2017-02-15 05:11:31
 0  0      0 418916   4916  33876    0    0     0     0 102055  201  0 22 78  0  0 2017-02-15 05:11:32
 1  0      0 418884   4916  33876    0    0     0     0 101947  208  0 21 79  0  0 2017-02-15 05:11:33
 0  0      0 418884   4916  33876    0    0     0     0 101994  195  0 20 81  0  0 2017-02-15 05:11:34
 0  0      0 418916   4916  33876    0    0     0     0 102010  197  0 24 77  0  0 2017-02-15 05:11:35
 0  0      0 418916   4916  33876    0    0     0     0 102035  199  0 22 79  0  0 2017-02-15 05:11:36
 0  0      0 418892   4916  33876    0    0     0     0 101929  209  0 23 78  0  0 2017-02-15 05:11:37
 0  0      0 418924   4916  33876    0    0     0     0 102021  207  0 19 81  0  0 2017-02-15 05:11:38
 1  0      0 418892   4916  33876    0    0     0     0 102132  230  0 20 80  0  0 2017-02-15 05:11:39
 1  0      0 418924   4916  33876    0    0     0     0 102055  242  0 24 76  0  0 2017-02-15 05:11:40
 0  0      0 418892   4916  33880    0    0     0     0 101971  193  0 22 79  0  0 2017-02-15 05:11:41
 1  0      0 418924   4916  33880    0    0     0     0 101876  197  0 21 79  0  0 2017-02-15 05:11:42
 1  0      0 418892   4916  33880    0    0     0     0 101904  219  0 23 78  0  0 2017-02-15 05:11:43
 0  0      0 418924   4916  33880    0    0     0     0 101956  192  0 20 81  0  0 2017-02-15 05:11:44
 1  0      0 418924   4916  33880    0    0     0     0 101867  185  0 21 79  0  0 2017-02-15 05:11:45
 0  0      0 418892   4916  33880    0    0     0     0 102128  208  0 19 81  0  0 2017-02-15 05:11:46
 0  0      0 418924   4916  33880    0    0     0     0 101991  214  0 24 76  0  0 2017-02-15 05:11:47
 0  0      0 418924   4916  33880    0    0     0     0 101677  212  0 24 77  0  0 2017-02-15 05:11:48
 0  0      0 418924   4916  33880    0    0     0     0 101964  222  0 27 74  0  0 2017-02-15 05:11:49
 1  0      0 418924   4916  33880    0    0     0     0 101917  238  0 29 71  0  0 2017-02-15 05:11:50
 1  0      0 418892   4916  33880    0    0     0     0 101908  183  0 20 80  0  0 2017-02-15 05:11:51
 0  0      0 418892   4916  33880    0    0     0     0 101841  198  0 20 81  0  0 2017-02-15 05:11:52
 0  0      0 418924   4916  33880    0    0     0     0 101834  215  0 24 76  0  0 2017-02-15 05:11:53
 0  0      0 418924   4916  33880    0    0     0     0 101943  213  0 24 77  0  0 2017-02-15 05:11:54
 0  0      0 418924   4916  33880    0    0     0     0 102126  215  0 22 78  0  0 2017-02-15 05:11:55
 0  0      0 418924   4916  33880    0    0     0     0 102089  193  0 22 78  0  0 2017-02-15 05:11:56
 0  0      0 418924   4916  33880    0    0     0     0 102061  224  0 23 77  0  0 2017-02-15 05:11:57
 0  0      0 418924   4916  33880    0    0     0     0 101998  194  0 21 80  0  0 2017-02-15 05:11:58
 1  0      0 418924   4916  33880    0    0     0     0 101930  192  0 20 81  0  0 2017-02-15 05:11:59
 0  0      0 418924   4916  33880    0    0     0     0 101768  176  1 16 84  0  0 2017-02-15 05:12:00
 1  0      0 418924   4916  33880    0    0     0     0 101772  177  0 16 85  0  0 2017-02-15 05:12:01
 0  0      0 418884   4916  33880    0    0     0     0 101786  220  0 24 77  0  0 2017-02-15 05:12:02
 0  0      0 418916   4916  33880    0    0     0     0 101920  180  0 16 84  0  0 2017-02-15 05:12:03
 0  0      0 418916   4916  33880    0    0     0     0 101899  203  0 22 79  0  0 2017-02-15 05:12:04
 0  0      0 418884   4916  33880    0    0     0     0 101969  216  0 24 76  0  0 2017-02-15 05:12:05
 0  0      0 418916   4916  33880    0    0     0     0 102019  179  0 19 82  0  0 2017-02-15 05:12:06
 0  0      0 418916   4916  33880    0    0     0     0 101930  193  0 18 82  0  0 2017-02-15 05:12:07
 1  0      0 418916   4916  33880    0    0     0     0 102188  206  0 21 79  0  0 2017-02-15 05:12:08
 0  0      0 418916   4916  33880    0    0     0     0 102086  181  0 17 84  0  0 2017-02-15 05:12:09
 0  0      0 418916   4916  33880    0    0     0     0 102007  209  0 22 78  0  0 2017-02-15 05:12:10
 0  0      0 418916   4916  33880    0    0     0     0 102099  198  0 22 78  0  0 2017-02-15 05:12:11
 0  0      0 418916   4916  33880    0    0     0     0 102044  201  0 18 83  0  0 2017-02-15 05:12:12
 0  0      0 418884   4916  33880    0    0     0     0 102118  183  0 22 79  0  0 2017-02-15 05:12:13
 1  0      0 418924   4916  33880    0    0     0     0 101897  242  0 25 76  0  0 2017-02-15 05:12:14
 1  0      0 418884   4916  33880    0    0     0     0 101907  214  0 22 79  0  0 2017-02-15 05:12:15
 1  0      0 418884   4916  33880    0    0     0     0 101897  200  0 20 80  0  0 2017-02-15 05:12:16
 1  0      0 418916   4916  33880    0    0     0     0 101811  216  0 21 79  0  0 2017-02-15 05:12:17
 0  0      0 418948   4916  33880    0    0     0     0 101852  201  0 23 78  0  0 2017-02-15 05:12:18
 0  0      0 418916   4916  33880    0    0     0     0 101984  224  0 22 79  0  0 2017-02-15 05:12:19
 0  0      0 418916   4916  33880    0    0     0     0 101955  233  0 22 79  0  0 2017-02-15 05:12:20
