1487167863
[H[JMem: 90444K used, 422340K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.07 0.02 0.00 2/85 22991
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 422340   4916  33864    0    0     0     0   24    9  0  2 98  0  0 2017-02-15 14:11:03
 0  0      0 420932   4916  33868    0    0     0     0 58778  211  0 10 91  0  0 2017-02-15 14:11:04
 0  0      0 417016   4916  33868    0    0     0     0 58568  135  0 10 90  0  0 2017-02-15 14:11:05
 0  0      0 416648   4916  33868    0    0     0     0 58435  334  0 11 90  0  0 2017-02-15 14:11:06
 0  0      0 424440   4916  33868    0    0     0     0 58985  189  0 12 89  0  0 2017-02-15 14:11:07
 0  0      0 424768   4916  33868    0    0     0     0 58718  286  0 11 90  0  0 2017-02-15 14:11:08
 0  0      0 424784   4916  33868    0    0     0     0 59073  152  0 13 87  0  0 2017-02-15 14:11:09
 0  0      0 424776   4916  33868    0    0     0     0 58161  271  0 17 84  0  0 2017-02-15 14:11:10
 0  0      0 424864   4916  33868    0    0     0     0 58515  195  0 16 85  0  0 2017-02-15 14:11:11
 0  0      0 424864   4916  33868    0    0     0     0 58816  389  0  8 92  0  0 2017-02-15 14:11:12
 0  0      0 424864   4916  33868    0    0     0     0 59314  345  0  9 91  0  0 2017-02-15 14:11:13
 0  0      0 424896   4916  33868    0    0     0     0 59027  402  0 11 90  0  0 2017-02-15 14:11:14
 0  0      0 424800   4916  33868    0    0     0     0 59118  326  0 11 90  0  0 2017-02-15 14:11:15
 0  0      0 424800   4916  33868    0    0     0     0 59158  379  0 10 90  0  0 2017-02-15 14:11:16
 0  0      0 424924   4916  33868    0    0     0     0 59264  365  1 11 89  0  0 2017-02-15 14:11:17
 0  0      0 424860   4916  33868    0    0     0     0 59225  403  0 17 84  0  0 2017-02-15 14:11:18
 0  0      0 424892   4916  33868    0    0     0     0 59461  351  0  9 92  0  0 2017-02-15 14:11:19
 0  0      0 424892   4916  33868    0    0     0     0 59946  390  0 14 87  0  0 2017-02-15 14:11:20
 0  0      0 424892   4916  33868    0    0     0     0 58398  328  0 14 86  0  0 2017-02-15 14:11:21
