1487142604
[H[JMem: 92472K used, 420312K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   4% sys   0% nic  95% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 2/86 22077
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 420376   4916  33872    0    0     0     0 103866  242  0 21 79  0  0 2017-02-15 07:11:01
 0  0      0 420376   4916  33872    0    0     0     0 103840  226  0 18 83  0  0 2017-02-15 07:11:02
 0  0      0 420376   4916  33872    0    0     0     0 103766  243  0 20 80  0  0 2017-02-15 07:11:03
 0  0      0 420376   4916  33872    0    0     0     0 103606  248  0 21 80  0  0 2017-02-15 07:11:04
 0  0      0 420408   4916  33872    0    0     0     0 103647  238  1 20 80  0  0 2017-02-15 07:11:05
 0  0      0 420408   4916  33872    0    0     0     0 103641  241  0 21 79  0  0 2017-02-15 07:11:06
 0  0      0 420408   4916  33872    0    0     0     0 103569  242  0 21 79  0  0 2017-02-15 07:11:07
 0  0      0 420408   4916  33872    0    0     0     0 103571  235  0 22 78  0  0 2017-02-15 07:11:08
 0  0      0 420376   4916  33872    0    0     0     0 103665  226  0 18 82  0  0 2017-02-15 07:11:09
 0  0      0 420376   4916  33872    0    0     0     0 103722  232  0 18 82  0  0 2017-02-15 07:11:10
 0  0      0 420408   4916  33872    0    0     0     0 103834  240  0 22 78  0  0 2017-02-15 07:11:11
 1  0      0 420408   4916  33872    0    0     0     0 103816  222  0 18 82  0  0 2017-02-15 07:11:12
 0  0      0 420408   4916  33872    0    0     0     0 103715  232  0 22 79  0  0 2017-02-15 07:11:13
 0  0      0 420408   4916  33872    0    0     0     0 103800  238  0 20 80  0  0 2017-02-15 07:11:14
 0  0      0 420408   4916  33872    0    0     0     0 103807  250  0 21 79  0  0 2017-02-15 07:11:15
 0  0      0 420408   4916  33872    0    0     0     0 103720  233  1 20 80  0  0 2017-02-15 07:11:16
 0  0      0 420408   4916  33872    0    0     0     0 103837  246  0 22 79  0  0 2017-02-15 07:11:17
 0  0      0 420408   4916  33872    0    0     0     0 103831  255  1 24 76  0  0 2017-02-15 07:11:18
 0  0      0 420408   4916  33872    0    0     0     0 103933  265  0 24 77  0  0 2017-02-15 07:11:19
 0  0      0 420408   4916  33876    0    0     0     0 103901  251  0 22 78  0  0 2017-02-15 07:11:20
 0  0      0 420376   4916  33876    0    0     0     0 103907  275  0 26 75  0  0 2017-02-15 07:11:21
 0  0      0 420376   4916  33876    0    0     0     0 103862  229  0 19 82  0  0 2017-02-15 07:11:22
 0  0      0 420408   4916  33876    0    0     0     0 104023  250  0 22 78  0  0 2017-02-15 07:11:23
 0  0      0 420408   4916  33876    0    0     0     0 103926  248  0 19 81  0  0 2017-02-15 07:11:24
 0  0      0 420408   4916  33876    0    0     0     0 103950  243  0 23 77  0  0 2017-02-15 07:11:25
 0  0      0 420408   4916  33876    0    0     0     0 103954  258  0 27 73  0  0 2017-02-15 07:11:26
 0  0      0 420408   4916  33876    0    0     0     0 104004  229  0 22 78  0  0 2017-02-15 07:11:27
 0  0      0 420408   4916  33876    0    0     0     0 103971  239  0 20 80  0  0 2017-02-15 07:11:28
 0  0      0 420408   4916  33876    0    0     0     0 104036  261  0 25 76  0  0 2017-02-15 07:11:29
 0  0      0 420440   4916  33876    0    0     0     0 104093  243  1 17 83  0  0 2017-02-15 07:11:30
 0  0      0 420440   4916  33876    0    0     0     0 103799  263  0 23 78  0  0 2017-02-15 07:11:31
 0  0      0 420440   4916  33876    0    0     0     0 103844  229  0 19 82  0  0 2017-02-15 07:11:32
 0  0      0 420472   4916  33876    0    0     0     0 103874  224  0 20 80  0  0 2017-02-15 07:11:33
 0  0      0 420440   4916  33876    0    0     0     0 104006  240  0 23 78  0  0 2017-02-15 07:11:34
 0  0      0 420440   4916  33876    0    0     0     0 103878  278  0 27 74  0  0 2017-02-15 07:11:35
 0  0      0 420440   4916  33876    0    0     0     0 103958  233  0 20 80  0  0 2017-02-15 07:11:36
 0  0      0 420408   4916  33876    0    0     0     0 104273  260  0 21 79  0  0 2017-02-15 07:11:37
 0  0      0 420440   4916  33876    0    0     0     0 104199  244  0 22 78  0  0 2017-02-15 07:11:38
 0  0      0 420440   4916  33876    0    0     0     0 104057  247  0 22 79  0  0 2017-02-15 07:11:39
 0  0      0 420440   4916  33876    0    0     0     0 104096  246  0 22 79  0  0 2017-02-15 07:11:40
 0  0      0 420440   4916  33876    0    0     0     0 103949  247  0 20 81  0  0 2017-02-15 07:11:41
 0  0      0 420440   4916  33876    0    0     0     0 103970  238  0 19 81  0  0 2017-02-15 07:11:42
 0  0      0 420440   4916  33876    0    0     0     0 104037  249  0 22 79  0  0 2017-02-15 07:11:43
 0  0      0 420536   4916  33876    0    0     0     0 103915  292  0 26 75  0  0 2017-02-15 07:11:44
 0  0      0 420536   4916  33876    0    0     0     0 103934  256  0 24 77  0  0 2017-02-15 07:11:45
 0  0      0 420536   4916  33876    0    0     0     0 103971  259  0 22 78  0  0 2017-02-15 07:11:46
 0  0      0 420536   4916  33876    0    0     0     0 103946  244  0 20 80  0  0 2017-02-15 07:11:47
 1  0      0 420536   4916  33876    0    0     0     0 103840  256  0 20 80  0  0 2017-02-15 07:11:48
 0  0      0 420536   4916  33876    0    0     0     0 103969  236  0 23 77  0  0 2017-02-15 07:11:49
 0  0      0 420536   4916  33876    0    0     0     0 103904  254  0 22 79  0  0 2017-02-15 07:11:50
 0  0      0 420504   4916  33876    0    0     0     0 104020  253  0 22 78  0  0 2017-02-15 07:11:51
 0  0      0 420568   4916  33876    0    0     0     0 104020  258  0 20 80  0  0 2017-02-15 07:11:52
 0  0      0 420568   4916  33876    0    0     0     0 103926  235  1 23 77  0  0 2017-02-15 07:11:53
 0  0      0 420568   4916  33876    0    0     0     0 103937  228  0 21 79  0  0 2017-02-15 07:11:54
 0  0      0 420568   4916  33876    0    0     0     0 104022  243  0 22 79  0  0 2017-02-15 07:11:55
 0  0      0 420568   4916  33876    0    0     0     0 103957  266  0 23 78  0  0 2017-02-15 07:11:56
 0  0      0 420568   4916  33876    0    0     0     0 103977  281  0 23 78  0  0 2017-02-15 07:11:57
 0  0      0 420640   4916  33876    0    0     0     0 103948  299  0 22 79  0  0 2017-02-15 07:11:58
 0  0      0 420632   4916  33880    0    0     0     0 103998  242  0 18 82  0  0 2017-02-15 07:11:59
 0  0      0 420632   4916  33880    0    0     0     0 104019  231  0 17 83  0  0 2017-02-15 07:12:00
 0  0      0 420632   4916  33880    0    0     0     0 103867  236  0 20 81  0  0 2017-02-15 07:12:01
 0  0      0 420664   4916  33880    0    0     0     0 103819  257  0 25 76  0  0 2017-02-15 07:12:02
 0  0      0 420696   4916  33880    0    0     0     0 103792  241  0 21 80  0  0 2017-02-15 07:12:03
 0  0      0 420696   4916  33880    0    0     0     0 103769  264  0 20 80  0  0 2017-02-15 07:12:04
 0  0      0 420696   4916  33880    0    0     0     0 104055  232  0 20 80  0  0 2017-02-15 07:12:05
 0  0      0 420696   4916  33880    0    0     0     0 104216  256  0 26 74  0  0 2017-02-15 07:12:06
 0  0      0 420728   4916  33880    0    0     0     0 104208  244  0 18 82  0  0 2017-02-15 07:12:07
 0  0      0 420728   4916  33880    0    0     0     0 104182  251  0 22 78  0  0 2017-02-15 07:12:08
 0  0      0 420728   4916  33880    0    0     0     0 104138  242  0 23 77  0  0 2017-02-15 07:12:09
 0  0      0 420728   4916  33880    0    0     0     0 103953  217  0 17 84  0  0 2017-02-15 07:12:10
 0  0      0 420728   4916  33880    0    0     0     0 103750  249  0 22 78  0  0 2017-02-15 07:12:11
 0  0      0 420792   4916  33880    0    0     0     0 104100  272  0 25 75  0  0 2017-02-15 07:12:12
 0  0      0 420824   4916  33880    0    0     0     0 103911  247  0 21 79  0  0 2017-02-15 07:12:13
 0  0      0 420824   4916  33880    0    0     0     0 104133  244  0 24 77  0  0 2017-02-15 07:12:14
 0  0      0 420824   4916  33880    0    0     0     0 103981  252  0 19 81  0  0 2017-02-15 07:12:15
 0  0      0 420824   4916  33880    0    0     0     0 103781  322  0 23 77  0  0 2017-02-15 07:12:16
 0  0      0 420824   4916  33880    0    0     0     0 103872  311  0 19 82  0  0 2017-02-15 07:12:17
