1487164254
[H[JMem: 98092K used, 414692K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.14 0.03 0.01 1/85 22852
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 414656   4916  33864    0    0     0     0   31    8  0  2 98  0  0 2017-02-15 13:10:54
 0  0      0 414716   4916  33868    0    0     0     0 57196  343  0 12 88  0  0 2017-02-15 13:10:55
 0  0      0 414716   4916  33868    0    0     0     0 56846  347  0 10 91  0  0 2017-02-15 13:10:56
 0  0      0 414748   4916  33868    0    0     0     0 57110  343  0 12 89  0  0 2017-02-15 13:10:57
 0  0      0 414716   4916  33868    0    0     0     0 56758  351  0 12 88  0  0 2017-02-15 13:10:58
 0  0      0 414716   4916  33868    0    0     0     0 56813  366  0 12 89  0  0 2017-02-15 13:10:59
 2  0      0 414684   4916  33868    0    0     0     0 56765  367  0 14 87  0  0 2017-02-15 13:11:00
 0  0      0 414716   4916  33868    0    0     0     0 56778  359  0 13 87  0  0 2017-02-15 13:11:01
 0  0      0 414716   4916  33868    0    0     0     0 57509  354  0 12 89  0  0 2017-02-15 13:11:02
 0  0      0 414684   4916  33868    0    0     0     0 57581  361  0 14 87  0  0 2017-02-15 13:11:03
 0  0      0 414716   4916  33868    0    0     0     0 57547  363  0 11 89  0  0 2017-02-15 13:11:04
 0  0      0 414716   4916  33868    0    0     0     0 57458  357  0 10 90  0  0 2017-02-15 13:11:05
 0  0      0 414716   4916  33868    0    0     0     0 57393  351  0 12 89  0  0 2017-02-15 13:11:06
 0  0      0 414684   4916  33868    0    0     0     0 57468  326  0 10 90  0  0 2017-02-15 13:11:07
 0  0      0 414716   4916  33868    0    0     0     0 57564  361  0 13 87  0  0 2017-02-15 13:11:08
 0  0      0 414684   4916  33868    0    0     0     0 57048  390  0 12 89  0  0 2017-02-15 13:11:09
 0  0      0 414684   4916  33868    0    0     0     0 57482  354  0 12 89  0  0 2017-02-15 13:11:10
 0  0      0 414716   4916  33868    0    0     0     0 57264  341  0  9 91  0  0 2017-02-15 13:11:11
 0  0      0 414716   4916  33868    0    0     0     0 57310  349  0 12 88  0  0 2017-02-15 13:11:12
 0  0      0 414684   4916  33868    0    0     0     0 57173  336  0 11 89  0  0 2017-02-15 13:11:13
 0  0      0 414716   4916  33868    0    0     0     0 56969  360  0 13 87  0  0 2017-02-15 13:11:14
 0  0      0 414684   4916  33868    0    0     0     0 56718  344  1 13 87  0  0 2017-02-15 13:11:15
 0  0      0 414652   4916  33868    0    0     0     0 57042  326  0 17 84  0  0 2017-02-15 13:11:16
 0  0      0 414620   4916  33868    0    0     0     0 56930  272  0 13 88  0  0 2017-02-15 13:11:17
 0  0      0 414524   4916  33868    0    0     0     0 56874  266  0 12 88  0  0 2017-02-15 13:11:18
 0  0      0 414556   4916  33868    0    0     0     0 57034  260  0 10 91  0  0 2017-02-15 13:11:19
 0  0      0 414524   4916  33868    0    0     0     0 56957  291  0 13 87  0  0 2017-02-15 13:11:20
 0  0      0 414556   4916  33868    0    0     0     0 56902  288  0 12 89  0  0 2017-02-15 13:11:21
 0  0      0 414492   4916  33868    0    0     0     0 55483  270  0 12 89  0  0 2017-02-15 13:11:22
 0  0      0 414524   4916  33868    0    0     0     0 53127  286  0 12 89  0  0 2017-02-15 13:11:23
 0  0      0 414524   4916  33868    0    0     0     0 64754  243  0 11 89  0  0 2017-02-15 13:11:24
 0  0      0 414588   4916  33868    0    0     0     0 51476  208  0  8 93  0  0 2017-02-15 13:11:25
 0  0      0 414556   4916  33868    0    0     0     0 64712  250  0 14 87  0  0 2017-02-15 13:11:26
 0  0      0 414588   4916  33868    0    0     0     0 46918  252  0 12 89  0  0 2017-02-15 13:11:27
 0  0      0 414588   4916  33868    0    0     0     0 58575  273  0 16 85  0  0 2017-02-15 13:11:28
 0  0      0 414620   4916  33868    0    0     0     0 72907  272  0 14 87  0  0 2017-02-15 13:11:29
 0  0      0 414556   4916  33872    0    0     0     0 56107  239  0 13 88  0  0 2017-02-15 13:11:30
 0  0      0 414588   4916  33872    0    0     0     0 49492  256  0 11 89  0  0 2017-02-15 13:11:31
 0  0      0 414556   4916  33872    0    0     0     0 52896  238  0  8 93  0  0 2017-02-15 13:11:32
 0  0      0 414588   4916  33872    0    0     0     0 69974  275  0 15 86  0  0 2017-02-15 13:11:33
 0  0      0 414588   4916  33872    0    0     0     0 63122  250  0 10 90  0  0 2017-02-15 13:11:34
 0  0      0 414588   4916  33872    0    0     0     0 56648  241  0  9 91  0  0 2017-02-15 13:11:35
 0  0      0 414588   4916  33872    0    0     0     0 57802  245  0  9 92  0  0 2017-02-15 13:11:36
 0  0      0 414588   4916  33872    0    0     0     0 56903  211  0  9 91  0  0 2017-02-15 13:11:37
 0  0      0 414652   4916  33872    0    0     0     0 49301  231  0 10 91  0  0 2017-02-15 13:11:38
 0  0      0 414716   4916  33872    0    0     0     0 64611  247  0 13 87  0  0 2017-02-15 13:11:39
 0  0      0 414716   4916  33872    0    0     0     0 64117  231  0  9 91  0  0 2017-02-15 13:11:40
 0  0      0 414748   4916  33872    0    0     0     0 57007  253  0  9 91  0  0 2017-02-15 13:11:41
 0  0      0 414716   4916  33872    0    0     0     0 57731  227  0  8 93  0  0 2017-02-15 13:11:42
 0  0      0 414748   4916  33872    0    0     0     0 57529  236  0 10 91  0  0 2017-02-15 13:11:43
 0  0      0 414716   4916  33872    0    0     0     0 57419  238  0  9 91  0  0 2017-02-15 13:11:44
 0  0      0 414748   4916  33872    0    0     0     0 57263  239  0 13 88  0  0 2017-02-15 13:11:45
 0  0      0 414716   4916  33872    0    0     0     0 56851  234  0 11 89  0  0 2017-02-15 13:11:46
 0  0      0 414748   4916  33872    0    0     0     0 57089  231  0 11 89  0  0 2017-02-15 13:11:47
 0  0      0 414748   4916  33872    0    0     0     0 57263  251  1 12 88  0  0 2017-02-15 13:11:48
 0  0      0 414748   4916  33872    0    0     0     0 57077  233  0 10 90  0  0 2017-02-15 13:11:49
 0  0      0 414748   4916  33872    0    0     0     0 57341  237  0  8 92  0  0 2017-02-15 13:11:50
 0  0      0 414716   4916  33872    0    0     0     0 57720  267  0 15 86  0  0 2017-02-15 13:11:51
 0  0      0 414748   4916  33872    0    0     0     0 57690  254  0 11 90  0  0 2017-02-15 13:11:52
 0  0      0 414780   4916  33872    0    0     0     0 57659  270  0 12 88  0  0 2017-02-15 13:11:53
 0  0      0 414812   4916  33872    0    0     0     0 57364  232  0 10 90  0  0 2017-02-15 13:11:54
 0  0      0 414812   4916  33872    0    0     0     0 57227  247  0 12 88  0  0 2017-02-15 13:11:55
 0  0      0 414812   4916  33872    0    0     0     0 56936  213  1  9 91  0  0 2017-02-15 13:11:56
 0  0      0 414812   4916  33872    0    0     0     0 57598  264  0 15 85  0  0 2017-02-15 13:11:57
 0  0      0 414844   4916  33872    0    0     0     0 57414  248  1 13 87  0  0 2017-02-15 13:11:58
 0  0      0 414844   4916  33872    0    0     0     0 57174  233  0  9 91  0  0 2017-02-15 13:11:59
 0  0      0 414972   4916  33872    0    0     0     0 57297  278  0 15 86  0  0 2017-02-15 13:12:00
 0  0      0 415036   4916  33872    0    0     0     0 57661  267  0 14 86  0  0 2017-02-15 13:12:01
 0  0      0 415036   4916  33872    0    0     0     0 57537  219  0 10 91  0  0 2017-02-15 13:12:02
 0  0      0 415036   4916  33872    0    0     0     0 58111  269  0 13 88  0  0 2017-02-15 13:12:03
 0  0      0 415036   4916  33872    0    0     0     0 57102  265  0 14 86  0  0 2017-02-15 13:12:04
 0  0      0 415036   4916  33872    0    0     0     0 58006  265  0 14 87  0  0 2017-02-15 13:12:05
 0  0      0 415036   4916  33872    0    0     0     0 57764  291  0 16 85  0  0 2017-02-15 13:12:06
 0  0      0 415036   4916  33872    0    0     0     0 57506  274  0 13 87  0  0 2017-02-15 13:12:07
 0  0      0 415036   4916  33872    0    0     0     0 57046  271  0 13 87  0  0 2017-02-15 13:12:08
 0  0      0 415036   4916  33872    0    0     0     0 57428  288  0 15 86  0  0 2017-02-15 13:12:09
 1  0      0 415036   4916  33876    0    0     0     0 56190  290  0 13 88  0  0 2017-02-15 13:12:10
 1  0      0 415036   4916  33876    0    0     0     0 58424  320  0 15 86  0  0 2017-02-15 13:12:11
 0  0      0 415036   4916  33876    0    0     0     0 57057  298  0 15 86  0  0 2017-02-15 13:12:12
 0  0      0 415036   4916  33876    0    0     0     0 57321  265  0  8 92  0  0 2017-02-15 13:12:13
 0  0      0 415036   4916  33876    0    0     0     0 57021  288  0  8 92  0  0 2017-02-15 13:12:14
 0  0      0 414972   4916  33876    0    0     0     0 57219  259  0 12 88  0  0 2017-02-15 13:12:15
