1487185905
[H[JMem: 98812K used, 413972K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.01 0.01 0.00 2/85 23623
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 414068   4916  33872    0    0     0     0 57658  233  0 11 90  0  0 2017-02-15 19:12:42
 0  0      0 414068   4916  33872    0    0     0     0 57216  243  0 13 87  0  0 2017-02-15 19:12:43
 0  0      0 414036   4916  33872    0    0     0     0 57247  235  0  9 91  0  0 2017-02-15 19:12:44
 0  0      0 414036   4916  33872    0    0     0     0 57213  239  0 10 90  0  0 2017-02-15 19:12:45
 0  0      0 414036   4916  33872    0    0     0     0 57047  251  0 12 88  0  0 2017-02-15 19:12:46
 0  0      0 414036   4916  33872    0    0     0     0 57047  233  0 12 89  0  0 2017-02-15 19:12:47
 0  0      0 414004   4916  33872    0    0     0     0 57562  216  0 10 91  0  0 2017-02-15 19:12:48
 0  0      0 414036   4916  33872    0    0     0     0 56921  235  0 10 91  0  0 2017-02-15 19:12:49
 0  0      0 414004   4916  33872    0    0     0     0 58479  248  0 14 87  0  0 2017-02-15 19:12:50
 0  0      0 414036   4916  33872    0    0     0     0 57328  250  0  9 91  0  0 2017-02-15 19:12:51
 0  0      0 414036   4916  33872    0    0     0     0 58145  229  0 14 87  0  0 2017-02-15 19:12:52
 0  0      0 414036   4916  33872    0    0     0     0 59035  214  0 11 89  0  0 2017-02-15 19:12:53
 0  0      0 414004   4916  33872    0    0     0     0 57039  245  0 11 90  0  0 2017-02-15 19:12:54
 0  0      0 414004   4916  33872    0    0     0     0 59349  242  0 12 89  0  0 2017-02-15 19:12:55
 0  0      0 414004   4916  33872    0    0     0     0 59006  258  0 14 86  0  0 2017-02-15 19:12:56
 0  0      0 414036   4916  33872    0    0     0     0 55597  261  0  9 91  0  0 2017-02-15 19:12:57
 0  0      0 413972   4916  33872    0    0     0     0 57537  238  0 11 90  0  0 2017-02-15 19:12:58
 0  0      0 414004   4916  33872    0    0     0     0 57592  239  0 11 89  0  0 2017-02-15 19:12:59
 0  0      0 413972   4916  33872    0    0     0     0 57244  249  0 10 90  0  0 2017-02-15 19:13:00
 0  0      0 414004   4916  33876    0    0     0     0 59595  257  0 13 88  0  0 2017-02-15 19:13:01
 1  0      0 413972   4916  33876    0    0     0     0 55991  252  1 10 90  0  0 2017-02-15 19:13:02
 0  0      0 414004   4916  33876    0    0     0     0 58202  254  0 12 88  0  0 2017-02-15 19:13:03
 0  0      0 414004   4916  33876    0    0     0     0 57250  227  0  9 91  0  0 2017-02-15 19:13:04
 1  0      0 414004   4916  33876    0    0     0     0 58463  244  0 13 88  0  0 2017-02-15 19:13:05
 1  0      0 414004   4916  33876    0    0     0     0 57523  242  0 12 89  0  0 2017-02-15 19:13:06
 0  0      0 414004   4916  33876    0    0     0     0 49575  237  0 11 90  0  0 2017-02-15 19:13:07
 1  0      0 414004   4916  33876    0    0     0     0 63541  248  0 11 89  0  0 2017-02-15 19:13:08
 0  0      0 414004   4916  33876    0    0     0     0 62400  257  0 13 88  0  0 2017-02-15 19:13:09
 0  0      0 414004   4916  33876    0    0     0     0 55595  261  0 15 85  0  0 2017-02-15 19:13:10
 0  0      0 413972   4916  33876    0    0     0     0 57457  245  0  9 92  0  0 2017-02-15 19:13:11
 1  0      0 414036   4916  33876    0    0     0     0 57498  249  0  9 91  0  0 2017-02-15 19:13:12
 0  0      0 413972   4916  33876    0    0     0     0 60805  255  0 13 87  0  0 2017-02-15 19:13:13
 0  0      0 413972   4916  33876    0    0     0     0 56752  249  0 11 90  0  0 2017-02-15 19:13:14
 0  0      0 414004   4916  33876    0    0     0     0 57119  234  0 10 91  0  0 2017-02-15 19:13:15
 0  0      0 413972   4916  33876    0    0     0     0 57708  256  0 11 90  0  0 2017-02-15 19:13:16
 0  0      0 413972   4916  33876    0    0     0     0 58603  239  0  8 92  0  0 2017-02-15 19:13:17
 0  0      0 413972   4916  33876    0    0     0     0 56944  237  0 12 89  0  0 2017-02-15 19:13:18
