1487138995
[H[JMem: 93780K used, 419004K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 2/85 21933
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 419004   4916  33864    0    0     0     0   11    1  0  1 99  0  0 2017-02-15 06:09:55
 0  0      0 416000   4916  33868    0    0     0     0 97696  260  0 27 73  0  0 2017-02-15 06:09:56
 0  0      0 410732   4916  33868    0    0     0     0 99662  260  0 25 76  0  0 2017-02-15 06:09:57
 0  0      0 407168   4916  33868    0    0     0     0 99335  279  0 24 77  0  0 2017-02-15 06:09:58
 0  0      0 421880   4916  33868    0    0     0     0 99617  297  0 25 75  0  0 2017-02-15 06:09:59
 0  0      0 426128   4916  33868    0    0     0     0 101078  255  0 24 76  0  0 2017-02-15 06:10:00
 0  0      0 426120   4916  33868    0    0     0     0 101011  312  1 26 74  0  0 2017-02-15 06:10:01
 0  0      0 426096   4916  33868    0    0     0     0 101003  236  0 23 78  0  0 2017-02-15 06:10:02
 0  0      0 426220   4916  33868    0    0     0     0 100812  214  0 20 81  0  0 2017-02-15 06:10:03
 0  0      0 426116   4916  33868    0    0     0     0 100630  255  0 22 78  0  0 2017-02-15 06:10:04
 0  0      0 426272   4916  33868    0    0     0     0 100796  229  0 25 76  0  0 2017-02-15 06:10:05
 0  0      0 426208   4916  33868    0    0     0     0 100495  252  0 24 76  0  0 2017-02-15 06:10:06
 0  0      0 426224   4916  33868    0    0     0     0 100536  303  0 27 73  0  0 2017-02-15 06:10:07
 0  0      0 426136   4916  33868    0    0     0     0 100665  250  0 21 80  0  0 2017-02-15 06:10:08
 0  0      0 426264   4916  33868    0    0     0     0 100402  456  0 24 76  0  0 2017-02-15 06:10:09
 0  0      0 426232   4916  33868    0    0     0     0 100465  444  0 26 75  0  0 2017-02-15 06:10:10
 0  0      0 426272   4916  33868    0    0     0     0 100408  444  0 27 74  0  0 2017-02-15 06:10:11
 0  0      0 426240   4916  33868    0    0     0     0 100361  445  0 26 75  0  0 2017-02-15 06:10:12
 0  0      0 426240   4916  33868    0    0     0     0 100740  419  0 19 81  0  0 2017-02-15 06:10:13
 0  0      0 426240   4916  33868    0    0     0     0 100371  429  0 23 78  0  0 2017-02-15 06:10:14
 0  0      0 426272   4916  33868    0    0     0     0 100608  455  0 25 76  0  0 2017-02-15 06:10:15
 0  0      0 426272   4916  33868    0    0     0     0 100394  433  0 25 75  0  0 2017-02-15 06:10:16
 0  0      0 426272   4916  33868    0    0     0     0 100531  409  0 18 82  0  0 2017-02-15 06:10:17
 0  0      0 426272   4916  33868    0    0     0     0 100788  408  0 20 80  0  0 2017-02-15 06:10:18
 0  0      0 426272   4916  33868    0    0     0     0 100392  443  0 24 76  0  0 2017-02-15 06:10:19
 0  0      0 426240   4916  33868    0    0     0     0 100627  439  0 27 74  0  0 2017-02-15 06:10:20
 0  0      0 426240   4916  33868    0    0     0     0 100601  445  0 25 75  0  0 2017-02-15 06:10:21
 0  0      0 426208   4916  33868    0    0     0     0 100185  440  0 21 80  0  0 2017-02-15 06:10:22
 0  0      0 426176   4916  33868    0    0     0     0 100390  413  0 22 78  0  0 2017-02-15 06:10:23
 0  0      0 426208   4916  33868    0    0     0     0 100253  455  0 25 75  0  0 2017-02-15 06:10:24
 0  0      0 426208   4916  33868    0    0     0     0 100202  446  0 25 75  0  0 2017-02-15 06:10:25
 0  0      0 426208   4916  33868    0    0     0     0 100394  451  0 25 75  0  0 2017-02-15 06:10:26
 0  0      0 426208   4916  33868    0    0     0     0 100243  446  0 22 78  0  0 2017-02-15 06:10:27
 0  0      0 426208   4916  33868    0    0     0     0 100349  411  0 21 80  0  0 2017-02-15 06:10:28
 0  0      0 426176   4916  33868    0    0     0     0 100252  409  0 22 78  0  0 2017-02-15 06:10:29
 0  0      0 426208   4916  33868    0    0     0     0 100174  434  0 23 77  0  0 2017-02-15 06:10:30
 0  0      0 426176   4916  33872    0    0     0     0 100532  423  0 22 78  0  0 2017-02-15 06:10:31
 0  0      0 426176   4916  33872    0    0     0     0 100588  433  0 20 80  0  0 2017-02-15 06:10:32
 0  0      0 426176   4916  33872    0    0     0     0 100281  465  0 26 75  0  0 2017-02-15 06:10:33
 0  0      0 426176   4916  33872    0    0     0     0 100139  472  0 25 75  0  0 2017-02-15 06:10:34
 0  0      0 426208   4916  33872    0    0     0     0 100088  417  0 20 80  0  0 2017-02-15 06:10:35
 0  0      0 426112   4916  33872    0    0     0     0 99938  445  0 21 80  0  0 2017-02-15 06:10:36
 0  0      0 426080   4916  33872    0    0     0     0 100011  417  0 18 82  0  0 2017-02-15 06:10:37
 0  0      0 426048   4916  33872    0    0     0     0 100161  432  0 22 79  0  0 2017-02-15 06:10:38
 0  0      0 426048   4916  33872    0    0     0     0 100102  457  0 29 72  0  0 2017-02-15 06:10:39
 0  0      0 426048   4916  33872    0    0     0     0 99965  464  0 25 74  0  0 2017-02-15 06:10:40
 0  0      0 426080   4916  33872    0    0     0     0 100197  444  0 20 80  0  0 2017-02-15 06:10:41
 0  0      0 426080   4916  33872    0    0     0     0 100340  440  0 24 76  0  0 2017-02-15 06:10:42
 0  0      0 426080   4916  33872    0    0     0     0 100495  428  0 23 77  0  0 2017-02-15 06:10:43
 0  0      0 426080   4916  33872    0    0     0     0 100239  445  0 26 74  0  0 2017-02-15 06:10:44
 0  0      0 426080   4916  33872    0    0     0     0 100444  426  0 25 75  0  0 2017-02-15 06:10:45
 0  0      0 426080   4916  33872    0    0     0     0 100484  420  1 22 78  0  0 2017-02-15 06:10:46
 0  0      0 426080   4916  33872    0    0     0     0 100401  423  0 22 78  0  0 2017-02-15 06:10:47
