1487120953
[H[JMem: 91776K used, 421008K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 1/85 21293
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 420952   4916  33872    0    0     0     0 101580  292  0 24 77  0  0 2017-02-15 01:10:10
 0  0      0 420968   4916  33872    0    0     0     0 101401  316  0 30 71  0  0 2017-02-15 01:10:11
 0  0      0 420936   4916  33872    0    0     0     0 101339  279  0 21 79  0  0 2017-02-15 01:10:12
 0  0      0 420968   4916  33872    0    0     0     0 101152  291  0 19 81  0  0 2017-02-15 01:10:13
 0  0      0 420968   4916  33872    0    0     0     0 101047  248  0 19 82  0  0 2017-02-15 01:10:14
 0  0      0 420936   4916  33872    0    0     0     0 101176  268  0 20 80  0  0 2017-02-15 01:10:15
 1  0      0 421000   4916  33872    0    0     0     0 101082  297  0 27 74  0  0 2017-02-15 01:10:16
 1  0      0 420936   4916  33872    0    0     0     0 101118  289  0 25 76  0  0 2017-02-15 01:10:17
 1  0      0 420968   4916  33872    0    0     0     0 101016  286  0 22 79  0  0 2017-02-15 01:10:18
 0  0      0 420968   4916  33872    0    0     0     0 101078  274  0 24 77  0  0 2017-02-15 01:10:19
 0  0      0 420968   4916  33872    0    0     0     0 101220  277  0 22 78  0  0 2017-02-15 01:10:20
 0  0      0 420968   4916  33872    0    0     0     0 101135  283  0 20 80  0  0 2017-02-15 01:10:21
 0  0      0 420968   4916  33872    0    0     0     0 101177  273  0 19 82  0  0 2017-02-15 01:10:22
 0  0      0 420968   4916  33872    0    0     0     0 101101  285  1 25 75  0  0 2017-02-15 01:10:23
 1  0      0 420968   4916  33872    0    0     0     0 101327  269  0 18 83  0  0 2017-02-15 01:10:24
 0  0      0 420968   4916  33872    0    0     0     0 101415  256  0 18 83  0  0 2017-02-15 01:10:25
 0  0      0 420936   4916  33872    0    0     0     0 101229  260  0 18 81  0  0 2017-02-15 01:10:26
 0  0      0 420968   4916  33872    0    0     0     0 101073  261  0 16 85  0  0 2017-02-15 01:10:27
 0  0      0 420968   4916  33872    0    0     0     0 101040  286  0 22 78  0  0 2017-02-15 01:10:28
 1  0      0 420968   4916  33876    0    0     0     0 100920  279  0 24 76  0  0 2017-02-15 01:10:29
 1  0      0 420968   4916  33876    0    0     0     0 101041  250  0 22 79  0  0 2017-02-15 01:10:30
 0  0      0 420960   4916  33876    0    0     0     0 101326  274  0 23 78  0  0 2017-02-15 01:10:31
 0  0      0 420960   4916  33876    0    0     0     0 101512  276  0 24 77  0  0 2017-02-15 01:10:32
 0  0      0 420960   4916  33876    0    0     0     0 101371  246  0 19 82  0  0 2017-02-15 01:10:33
 0  0      0 420960   4916  33876    0    0     0     0 101290  280  0 23 77  0  0 2017-02-15 01:10:34
 1  0      0 420960   4916  33876    0    0     0     0 101427  318  0 27 73  0  0 2017-02-15 01:10:35
 0  0      0 420928   4916  33876    0    0     0     0 101248  302  0 25 76  0  0 2017-02-15 01:10:36
 0  0      0 420960   4916  33876    0    0     0     0 101461  239  0 20 80  0  0 2017-02-15 01:10:37
 1  0      0 420992   4916  33876    0    0     0     0 101473  282  0 23 77  0  0 2017-02-15 01:10:38
 0  0      0 420960   4916  33876    0    0     0     0 101309  279  0 23 77  0  0 2017-02-15 01:10:39
 0  0      0 420928   4916  33876    0    0     0     0 101488  281  0 22 79  0  0 2017-02-15 01:10:40
 0  0      0 420960   4916  33876    0    0     0     0 101199  276  0 21 80  0  0 2017-02-15 01:10:41
 0  0      0 420960   4916  33876    0    0     0     0 101347  264  0 19 81  0  0 2017-02-15 01:10:42
 1  0      0 420960   4916  33876    0    0     0     0 101389  286  0 23 78  0  0 2017-02-15 01:10:43
 0  0      0 420960   4916  33876    0    0     0     0 101303  247  0 19 81  0  0 2017-02-15 01:10:44
 1  0      0 420960   4916  33876    0    0     0     0 101223  293  0 26 75  0  0 2017-02-15 01:10:45
 0  0      0 420960   4916  33876    0    0     0     0 101121  272  0 21 79  0  0 2017-02-15 01:10:46
 0  0      0 420960   4916  33876    0    0     0     0 101321  246  0 21 79  0  0 2017-02-15 01:10:47
 0  0      0 420960   4916  33876    0    0     0     0 101178  304  0 28 73  0  0 2017-02-15 01:10:48
 0  0      0 420960   4916  33876    0    0     0     0 101038  277  0 21 79  0  0 2017-02-15 01:10:49
 1  0      0 420960   4916  33876    0    0     0     0 100949  273  1 23 77  0  0 2017-02-15 01:10:50
